Date,Grand_Prix,Winner,Team,Laps,RaceTime_sec,AVG_Lap_Time_sec
1953-08-02,Germany,NinoFarina,Ferrari,18,10945,608.0555555555555
1953-07-18,Great Britain,AlbertoAscari,Ferrari,90,10200,113.33333333333333
1953-07-05,France,MikeHawthorn,Ferrari,60,9858,164.3
1953-06-21,Belgium,AlbertoAscari,Ferrari,36,10110,280.8333333333333
1953-06-07,Netherlands,AlbertoAscari,Ferrari,90,10415,115.72222222222223
1953-05-30,Indianapolis 500,BillVukovich,Kurtis Kraft Offenhauser,200,13981,69.905
1953-01-18,Argentina,AlbertoAscari,Ferrari,97,10864,112.0
1952-09-07,Italy,AlbertoAscari,Ferrari,80,10245,128.0625
1952-08-17,Netherlands,AlbertoAscari,Ferrari,90,10408,115.64444444444445
1952-08-03,Germany,AlbertoAscari,Ferrari,18,11173,620.7222222222222
1952-07-19,Great Britain,AlbertoAscari,Ferrari,85,9851,115.89411764705882
1952-07-06,France,AlbertoAscari,Ferrari,77,10800,140.25974025974025
1952-06-22,Belgium,AlbertoAscari,Ferrari,36,11026,306.27777777777777
1952-05-30,Indianapolis 500,TroyRuttman,Kuzma Offenhauser,200,13961,69.805
1952-05-18,Switzerland,PieroTaruffi,Ferrari,62,10906,175.90322580645162
1951-10-28,Spain,Juan ManuelFangio,Alfa Romeo,70,10014,143.05714285714285
1951-09-16,Italy,AlbertoAscari,Ferrari,80,9759,121.9875
1951-07-29,Germany,AlbertoAscari,Ferrari,20,12183,609.15
1951-07-14,Great Britain,Jose FroilanGonzalez,Ferrari,90,9738,108.2
1951-07-01,France,Juan ManuelFangio,Alfa Romeo,77,12131,157.54545454545453
1951-07-01,France,LuigiFagioli,Alfa Romeo,0,0,
1951-06-17,Belgium,NinoFarina,Alfa Romeo,36,9946,276.27777777777777
1951-05-30,Indianapolis 500,LeeWallard,Kurtis Kraft Offenhauser,200,14258,71.29
1951-05-27,Switzerland,Juan ManuelFangio,Alfa Romeo,42,7673,182.6904761904762
1950-09-03,Italy,NinoFarina,Alfa Romeo,80,10277,128.4625
1950-07-02,France,Juan ManuelFangio,Alfa Romeo,64,10672,166.75
1950-06-18,Belgium,Juan ManuelFangio,Alfa Romeo,35,10046,287.0285714285714
1950-06-04,Switzerland,NinoFarina,Alfa Romeo,42,7373,175.54761904761904
1950-05-30,Indianapolis 500,JohnnieParsons,Kurtis Kraft Offenhauser,138,10015,72.57246376811594
1950-05-21,Monaco,Juan ManuelFangio,Alfa Romeo,100,11598,115.98
1950-05-13,Great Britain,NinoFarina,Alfa Romeo,70,8003,114.32857142857142
